song_no,title,album,artist,rank,like
33077240,Stay,BE,방탄소년단,68,79804
32906021,별을 담은 시 (Ode To The Stars),Red Moon : Ode To The Stars,마크툽 (MAKTUB),69,30967
31388145,너를 만나,너를 만나,폴킴,70,274863
5475060,Santa Tell Me,Santa Tell Me,Ariana Grande,71,163306
33077239,병,BE,방탄소년단,72,80626
33064355,HAPPENING,HAPPENING,AKMU (악동뮤지션),73,27583
31509376,12:45 (Stripped),12:45 (Stripped),Etham,74,97154
32143487,Love poem,Love poem,아이유,75,277224
32313543,아무노래,아무노래,지코 (ZICO),76,250288
33067476,Black Mamba,Black Mamba,aespa,77,22373
32345931,시작,이태원 클라쓰 OST Part.2,가호 (Gaho),78,193708
32961716,Pretty Savage,THE ALBUM,BLACKPINK,79,46034
32833393,덤디덤디 (DUMDi DUMDi),덤디덤디 (DUMDi DUMDi),(여자)아이들,80,89013
32915886,축하해 (Prod. By VAN.C),축하해,오반,81,34649
32122539,Maniac,Maniac,Conan Gray,82,109673
31341518,Paris In The Rain,I met you when I was 18. (the playlist),Lauv,83,235087
32902881,밤새 (취향저격 그녀 X 카더가든),밤새 (취향저격 그녀 X 카더가든),카더가든,84,34764
31703498,시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,HYNN (박혜원),85,178483
33029109,도망가,TAKE,MINO (송민호),86,36810
32377231,그때 그 아인,이태원 클라쓰 OST Part.6,김필,87,101230
32860419,Not Shy,Not Shy,ITZY (있지),88,57105
32616054,취했나봐,취했나봐,황인욱,89,41067
32734819,첫 줄,Dear,신용재 (2F),90,35658
32725022,보라빛 밤 (pporappippam),보라빛 밤 (pporappippam),선미,91,82388
32734372,Summer Hate (Feat. 비),RANDOM BOX,지코 (ZICO),92,103652
33102220,Better,BETTER – The 10th Album,보아 (BoA),93,5819
32889003,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,94,71632
32473998,좋은 사람 있으면 소개시켜줘,슬기로운 의사생활 OST Part 2,조이 (JOY),95,106793
33027247,너의 곁에만 맴돌아,너의 곁에만 맴돌아,노을,96,13518
31314144,가을 타나 봐,가을 타나 봐,바이브,97,151332
32273582,Psycho,‘The ReVe Festival’ Finale,Red Velvet (레드벨벳),98,207325
31701428,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,99,240697
31768993,Painkiller,Painkiller,Ruel,100,115455
